ProdId;SKU;ProdMarca;ProdModel
1521;"ME91 4106 1290 4322 9299 97";"Aptera";"Typ-1"
1522;"BR25 5802 6915 2326 8731 6958 782W W";"Cadillac";"Eldorado"
1523;"DE03 1861 4835 6929 1482 33";"Chevrolet";"G-Series G10"
1524;"CH58 2864 0PQY TQ1W 9WDK U";"Chevrolet";"Monte Carlo"
1525;"ME80 3273 6784 7483 7784 83";"Dodge";"Journey"
1526;"FR69 4118 0655 93YY 159B C9KA B77";"Dodge";"Caravan"
1527;"FR42 1466 9431 67PV LBD2 VLDK B10";"Dodge";"Charger"
1528;"FR67 0503 1107 45WA WFO9 18ZZ J30";"Ford";"Taurus"
1529;"KW45 VLSB OFVI 8T6G HC7K ZXJQ QBCW MW";"Ford";"EXP"
1530;"SE25 1923 5743 6912 8087 7889";"Ford";"Tempo"
1531;"LV89 RAZD 5WXF VFK2 OMQU N";"Ford";"Escort"
1532;"BA09 9848 1428 9854 3545";"Ford";"F-Series"
1533;"FO61 4076 0077 5643 47";"Ford";"Fusion"
1534;"CR43 7569 1378 2247 7884 3";"Geo";"Tracker"
1535;"RO83 NZIM 9UQC ISYZ T1TP 2XEX";"GMC";"Yukon XL 2500"
1536;"AL56 1820 7971 YN26 9VLJ YJA9 PUQ8";"Hyundai";"XG300"
1537;"VG56 KPPM 3256 3048 7676 8182";"Hyundai";"Azera"
1538;"VG85 HUXA 2141 9719 1973 1219";"Infiniti";"Q"
1539;"CZ78 3695 0450 1501 2312 4127";"Kia";"Amanti"
1540;"EE88 8821 7874 0239 9739";"Lexus";"SC"
1541;"KW28 CYHU 8HVG PRKX GWCQ N7KJ I7Q3 SM";"Mazda";"B-Series"
1542;"FR58 2226 5090 36GR MJ0U OPAV I55";"Mazda";"CX-7"
1543;"BA55 2563 0052 8714 1937";"Mercury";"Tracer"
1544;"LB07 1727 W6J1 EKGS HALX K1J0 1B7L";"Nissan";"350Z"
1545;"AZ17 VUWW UOJE BH2E WAPU SUPG 7NLT";"Nissan";"Sentra"
1546;"MT83 BDXV 9252 8C4F ZMLO MEEU 0VRI 5IT";"Plymouth";"Laser"
1547;"DK08 1392 9350 2887 79";"Pontiac";"Montana"
1548;"FR64 8922 5420 22XA 1QF9 OPFW 623";"Pontiac";"G6"
1549;"FR51 4777 2671 92QQ HB1I QSKN S45";"Pontiac";"Bonneville"
1550;"DE46 6601 9678 4662 6652 12";"Porsche";"Cayenne"
1551;"PK79 DWKF WCRU TOE0 FSCH NAM6";"Saab";"9000"
1552;"IS57 2727 1364 0109 7423 9473 34";"Suzuki";"Reno"
1553;"NL17 CTJC 8927 2424 73";"Toyota";"Supra"
1554;"AL67 1131 2509 EI6V O7QK V2HS OCGE";"Volkswagen";"GTI"
1555;"LB32 4532 ELN1 341R FD88 ITWT XE94";"Volvo";"XC90"
