Nfact;FechaVenta;FechaPago;PrecioVenta;CostoVenta;Margen;ProdId;Sucursal;IdCliente
1251;2015-01-09 00:00:00,000;2015-02-12 00:00:00,000;58851739;34347677;24504062;1532;"C01";4864
1253;2015-01-10 00:00:00,000;2015-04-13 00:00:00,000;6568648;33493114;-26924466;1534;"C01";4872
1254;2015-01-10 00:00:00,000;2015-02-27 00:00:00,000;24544122;27800003;-3255881;1552;"C01";4915
1265;2015-01-19 00:00:00,000;2015-03-26 00:00:00,000;26807152;30339947;-3532795;1527;"C01";4834
1286;2015-02-12 00:00:00,000;2015-03-10 00:00:00,000;91267248;39372824;51894424;1543;"C01";4857
1307;2015-03-01 00:00:00,000;2015-04-09 00:00:00,000;46552499;30172653;16379846;1526;"C01";4883
1309;2015-03-02 00:00:00,000;2015-05-26 00:00:00,000;44817738;32378412;12439326;1531;"C01";4917
1313;2015-03-06 00:00:00,000;2015-06-07 00:00:00,000;90307781;30253926;60053855;1547;"C01";4817
1328;2015-03-22 00:00:00,000;2015-04-18 00:00:00,000;42331379;31015566;11315813;1530;"C01";4820
1329;2015-03-24 00:00:00,000;2015-05-14 00:00:00,000;52116893;44980798;7136095;1540;"C01";4857
1336;2015-04-03 00:00:00,000;2015-06-26 00:00:00,000;22261410;31666202;-9404792;1521;"C01";4874
1339;2015-04-12 00:00:00,000;2015-05-19 00:00:00,000;6280468;33846226;-27565758;1525;"C01";4843
1340;2015-04-12 00:00:00,000;2015-04-27 00:00:00,000;10330931;29410295;-19079364;1537;"C01";4914
1341;2015-04-14 00:00:00,000;2015-06-11 00:00:00,000;31750160;28454772;3295388;1546;"C01";4877
1384;2015-05-24 00:00:00,000;2015-06-29 00:00:00,000;39103850;39372824;-268974;1543;"C01";4900
1386;2015-05-25 00:00:00,000;2015-06-28 00:00:00,000;18951879;29839505;-10887626;1522;"C01";4802
1392;2015-05-27 00:00:00,000;2015-07-04 00:00:00,000;99447492;30172653;69274839;1526;"C01";4911
1405;2015-06-10 00:00:00,000;2015-09-08 00:00:00,000;64850742;37718661;27132081;1550;"C01";4876
1428;2015-06-27 00:00:00,000;2015-09-26 00:00:00,000;37689613;28454772;9234841;1546;"C01";4911
1430;2015-06-30 00:00:00,000;2015-09-24 00:00:00,000;41023094;27563117;13459977;1544;"C01";4828
1461;2015-08-05 00:00:00,000;2015-09-25 00:00:00,000;51066778;34978105;16088673;1551;"C01";4825
1473;2015-08-20 00:00:00,000;2015-09-26 00:00:00,000;72029337;31654264;40375073;1548;"C01";4818
1475;2015-08-22 00:00:00,000;2015-11-19 00:00:00,000;35622634;31654264;3968370;1548;"C01";4842
1484;2015-08-28 00:00:00,000;2015-09-05 00:00:00,000;38773700;30929926;7843774;1541;"C01";4815
1494;2015-09-16 00:00:00,000;2015-10-14 00:00:00,000;17358307;39372824;-22014517;1543;"C01";4912
1499;2015-09-18 00:00:00,000;2015-10-09 00:00:00,000;65187392;29410295;35777097;1537;"C01";4905
1507;2015-10-01 00:00:00,000;2015-11-07 00:00:00,000;12474701;33544527;-21069826;1533;"C01";4876
1517;2015-10-14 00:00:00,000;2016-01-13 00:00:00,000;28642085;30172653;-1530568;1526;"C01";4856
1534;2015-11-03 00:00:00,000;2016-01-22 00:00:00,000;1116139;27800003;-26683864;1552;"C01";4924
1540;2015-11-06 00:00:00,000;2015-11-26 00:00:00,000;79778463;30339947;49438516;1527;"C01";4875
1567;2015-12-18 00:00:00,000;2016-01-09 00:00:00,000;60747778;31666202;29081576;1521;"C01";4812
1578;2015-12-24 00:00:00,000;2016-02-10 00:00:00,000;13224217;35676075;-22451858;1538;"C01";4896
1581;2015-12-28 00:00:00,000;2016-03-02 00:00:00,000;73671696;32378412;41293284;1531;"C01";4862
1583;2016-01-01 00:00:00,000;2016-01-15 00:00:00,000;88468340;31015566;57452774;1530;"C01";4842
1586;2016-01-05 00:00:00,000;2016-02-07 00:00:00,000;12947679;34347677;-21399998;1532;"C01";4803
1588;2016-01-10 00:00:00,000;2016-01-19 00:00:00,000;27778862;28764214;-985352;1553;"C01";4835
1594;2016-01-15 00:00:00,000;2016-02-08 00:00:00,000;2528317;32378412;-29850095;1531;"C01";4828
1597;2016-01-17 00:00:00,000;2016-04-04 00:00:00,000;55116032;33341159;21774873;1535;"C01";4868
1599;2016-01-20 00:00:00,000;2016-02-10 00:00:00,000;58378982;31243926;27135056;1549;"C01";4873
1609;2016-02-08 00:00:00,000;2016-02-28 00:00:00,000;77913842;37266935;40646907;1542;"C01";4828
1617;2016-02-15 00:00:00,000;2016-03-05 00:00:00,000;76015227;39372824;36642403;1543;"C01";4825
1637;2016-03-08 00:00:00,000;2016-04-11 00:00:00,000;44345777;29184176;15161601;1529;"C01";4893
1644;2016-03-16 00:00:00,000;2016-05-11 00:00:00,000;46043337;27563117;18480220;1544;"C01";4862
1646;2016-03-17 00:00:00,000;2016-04-29 00:00:00,000;55600492;31960772;23639720;1523;"C01";4837
1661;2016-04-01 00:00:00,000;2016-04-20 00:00:00,000;74373898;39637083;34736815;1528;"C01";4815
1662;2016-04-02 00:00:00,000;2016-05-16 00:00:00,000;26391672;34978105;-8586433;1551;"C01";4912
1675;2016-04-15 00:00:00,000;2016-06-11 00:00:00,000;85462109;33493114;51968995;1534;"C01";4805
1682;2016-04-23 00:00:00,000;2016-06-26 00:00:00,000;77443633;35435914;42007719;1539;"C01";4896
1692;2016-04-29 00:00:00,000;2016-05-21 00:00:00,000;8215230;33774964;-25559734;1554;"C01";4833
1696;2016-05-01 00:00:00,000;2016-06-07 00:00:00,000;8390118;27563117;-19172999;1544;"C01";4929
1709;2016-05-04 00:00:00,000;2016-07-01 00:00:00,000;69015262;29779423;39235839;1524;"C01";4921
1715;2016-05-05 00:00:00,000;2016-06-03 00:00:00,000;32221549;29184176;3037373;1529;"C01";4842
1723;2016-05-12 00:00:00,000;2016-05-16 00:00:00,000;50261776;30253926;20007850;1547;"C01";4886
1732;2016-05-19 00:00:00,000;2016-06-24 00:00:00,000;50014981;35422391;14592590;1545;"C01";4806
1733;2016-05-19 00:00:00,000;2016-07-14 00:00:00,000;79248720;30580490;48668230;1536;"C01";4813
1734;2016-05-19 00:00:00,000;2016-06-27 00:00:00,000;10786164;31243926;-20457762;1549;"C01";4921
1736;2016-05-21 00:00:00,000;2016-08-16 00:00:00,000;64459411;30580490;33878921;1536;"C01";4884
1744;2016-06-01 00:00:00,000;2016-07-01 00:00:00,000;41569197;29839505;11729692;1522;"C01";4863
1771;2016-06-23 00:00:00,000;2016-07-02 00:00:00,000;21371126;30929926;-9558800;1541;"C01";4840
1784;2016-07-04 00:00:00,000;2016-09-07 00:00:00,000;58448049;29184176;29263873;1529;"C01";4817
1787;2016-07-09 00:00:00,000;2016-10-12 00:00:00,000;47523656;30172653;17351003;1526;"C01";4823
1798;2016-07-20 00:00:00,000;2016-08-16 00:00:00,000;60642063;31666202;28975861;1521;"C01";4923
